Time; ID ; PositionCorrectionLog


name; position.x ; position.y; position.z; rotation.x ; rotation.y; rotation.z; rotation.w ; scaleX ; scaleY;  scaleZ
1_CylinderMurV2; -13,56;2,52; 9,93; 0,71; 0,00; 0,00; 0,71; 0,13; 0,20; 0,13
2_CylinderMurV2; -13,21;2,52; 9,93; 0,71; 0,00; 0,00; 0,71; 0,13; 0,20; 0,13
3_CylinderMurV2; 5,28;2,52; 9,64; 0,50; 0,50; -0,50; 0,50; 0,12; 0,20; 0,13
4_CylinderMurV2 ; 5,28;2,52; 9,29; 0,50; 0,50; -0,50; 0,50; 0,12; 0,20; 0,13
5_CylinderMurV2; 5,28;2,82; 3,80; 0,50; 0,50; -0,50; 0,50; 0,37; 0,19; 0,40
6_CylinderMurV2; 11,38;2,52; 2,02; 0,50; 0,50; 0,50; 0,50; 0,12; 0,20; 0,12
7_CylinderMurV2; 11,38;2,17; 2,02; 0,50; 0,50; 0,50; 0,50; 0,12; 0,20; 0,12
8_SquareHoleWallV2; 5,28;2,48; 2,75; 0,00; 0,71; 0,00; 0,71; 0,64; 0,26; 0,20
9_SquareHoleWallV2; 6,62;2,47; 2,02; 0,00; 0,00; 0,00; 1,00; 0,30; 0,10; 0,20
10_CylinderSolV2; -23,97;-0,51; 9,63; 0,00; 0,00; 0,00; 1,00; 0,24; 0,24; 0,24
11_CylinderSolV2; -23,45;-0,51; 9,51; 0,00; 0,00; 0,00; 1,00; 0,52; 0,24; 0,52
12_CylinderSolV2 ; -22,75;-0,51; 9,51; 0,00; 0,00; 0,00; 1,00; 0,52; 0,24; 0,52
13_CylinderSolV2; 11,46;-0,51; 1,25; 0,00; 0,00; 0,00; 1,00; 0,08; 0,24; 0,08
14_CylinderSolV2; 11,46;-0,51; 1,01; 0,00; 0,00; 0,00; 1,00; 0,08; 0,24; 0,08
15_SquareHoleFloorV2; -20,42;-0,51; 2,90; 0,00; 0,00; 0,00; 1,00; 0,60; 0,24; 1,10
16_SquareHoleFloorV2; 8,94;-0,51; -1,85; 0,00; 0,00; 0,00; 1,00; 1,32; 0,24; 0,70
